Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
13.969798,251,808,1406,4350,83,0,0
13.989798,275,893,1460,4432,85,0,0
14.029798,269,854,1457,4395,84,0,0
14.049798,257,809,1420,4288,83,0,0
14.0697975,263,820,1405,4229,83,0,0
14.089798,275,874,1473,4427,84,0,0
14.1097975,271,853,1459,4382,84,0,0
14.129798,257,803,1420,4257,83,0,0
14.149797,249,779,1388,4173,83,0,0
14.169798,273,852,1458,4363,84,0,0
14.189797,271,847,1451,4349,84,0,0
14.209798,256,838,1420,4254,86,0,0
14.229797,248,775,1390,4170,83,0,0
14.309797,254,794,1401,4217,83,0,0
14.329798,271,868,1429,4298,85,0,0
14.349798,273,856,1460,4303,85,0,0
14.369798,269,850,1449,4268,86,0,0
14.389798,258,811,1418,4245,84,0,0
14.409798,248,802,1408,4162,87,0,0
14.429798,275,877,1464,4372,85,0,0
14.449798,273,865,1459,4350,85,0,0
14.469798,256,818,1429,4304,85,0,0
14.489798,252,787,1400,4182,84,0,0
14.509798,277,869,1466,4367,84,0,0
14.529798,274,856,1458,4374,83,0,0
14.549798,263,824,1378,4293,80,0,0
14.5697975,252,791,1398,4197,84,0,0
14.629798,270,840,1451,4324,84,0,0
14.649797,253,808,1411,4214,85,0,0
14.669798,246,776,1376,4192,83,0,0
14.689797,278,846,1435,4271,82,0,0
14.709798,267,845,1434,4279,85,0,0
14.729797,261,824,1421,4237,85,0,0
14.749798,249,789,1383,4136,85,0,0
14.769797,255,801,1378,4119,84,0,0
14.789798,266,834,1436,4310,84,0,0
14.809797,263,825,1424,4284,83,0,0
14.829798,250,792,1389,4170,84,0,0
14.849798,239,761,1360,4059,85,0,0
14.869798,267,850,1434,4136,88,0,0
14.889798,265,828,1429,4255,84,0,0
14.909798,256,809,1407,4262,83,0,0
14.969798,263,833,1387,4243,83,0,0
14.989798,260,815,1422,4232,84,0,0
15.009798,248,792,1384,4029,87,0,0
15.029798,238,756,1355,4048,85,0,0
15.049798,264,824,1429,4251,84,0,0
15.0697975,260,829,1421,4234,85,0,0
15.089798,250,796,1396,4277,83,0,0
15.1097975,239,748,1362,4080,84,0,0
15.129798,261,814,1410,4235,83,0,0
15.149797,260,816,1423,4232,84,0,0
15.169798,256,809,1411,4206,85,0,0
15.189797,243,772,1374,4121,85,0,0
15.209798,234,747,1345,4005,85,0,0
15.229797,261,829,1424,4240,85,0,0
15.289798,234,760,1357,4076,86,0,0
15.329798,259,838,1414,4330,84,0,0
15.349798,247,798,1393,4184,85,0,0
15.369798,239,763,1362,4060,85,0,0
15.389798,254,822,1398,4153,86,0,0
15.409798,260,816,1425,4141,86,0,0
15.429798,257,823,1416,4300,84,0,0
15.449798,244,754,1386,4102,84,0,0
15.469798,241,745,1347,4019,83,0,0
15.489798,262,797,1424,4250,82,0,0
15.509798,269,822,1424,4228,83,0,0
15.529798,250,758,1394,4058,84,0,0
15.549798,245,751,1366,4064,83,0,0
15.5697975,263,828,1429,4295,84,0,0
15.629798,242,766,1365,4108,84,0,0
15.649797,254,795,1383,4100,84,0,0
15.669798,263,861,1433,4306,86,0,0
15.709798,254,804,1390,4169,84,0,0
15.729797,238,757,1361,4085,85,0,0
15.749798,265,863,1435,4260,87,0,0
15.769797,263,852,1475,4289,88,0,0
15.789798,252,806,1410,4228,85,0,0
15.809797,243,773,1377,4137,84,0,0
15.829798,266,840,1438,4267,85,0,0
15.849798,263,825,1431,4254,84,0,0
15.869798,255,830,1411,4204,86,0,0
15.889798,245,768,1380,4107,84,0,0
15.969798,251,801,1397,4194,85,0,0
15.989798,241,752,1369,4153,82,0,0
16.009798,265,799,1431,4253,82,0,0
16.029799,268,826,1430,4248,83,0,0
16.049797,258,821,1419,4214,85,0,0
16.069798,242,785,1389,4118,87,0,0
16.089798,263,817,1404,4281,82,0,0
16.109798,263,817,1434,4264,84,0,0
16.129797,260,821,1425,4242,85,0,0
16.149797,244,789,1391,4091,87,0,0
16.169798,236,767,1363,4089,86,0,0
16.189798,268,842,1446,4405,83,0,0
16.209797,271,838,1441,4325,83,0,0
16.229797,258,792,1411,4185,83,0,0
16.289797,266,836,1435,4256,85,0,0
16.309797,260,807,1427,4207,84,0,0
16.329798,250,791,1394,4142,85,0,0
16.349798,268,819,1429,4279,82,0,0
16.369799,268,842,1443,4281,85,0,0
16.389797,264,827,1433,4259,84,0,0
16.409798,253,808,1398,4153,86,0,0
16.429798,246,771,1368,4136,83,0,0
16.449799,270,850,1450,4284,85,0,0
16.469797,268,843,1442,4282,85,0,0
16.489798,257,808,1413,4243,84,0,0
16.509798,247,779,1380,4106,85,0,0
16.529799,267,838,1412,4192,85,0,0
16.549797,264,849,1434,4299,85,0,0
16.629797,267,821,1444,4327,82,0,0
16.649797,256,834,1433,4312,86,0,0
16.669798,252,789,1396,4148,84,0,0
16.689798,239,772,1366,4104,85,0,0
16.709797,266,834,1429,4235,85,0,0
16.729797,265,833,1424,4276,84,0,0
16.749798,255,809,1415,4231,85,0,0
16.769798,247,785,1377,4091,85,0,0
16.789797,261,830,1399,4195,85,0,0
16.809797,261,831,1422,4265,85,0,0
16.829798,249,818,1410,4179,87,0,0
16.849798,246,784,1375,4024,87,0,0
16.869799,262,832,1403,4150,86,0,0
16.889797,265,830,1431,4236,85,0,0
16.969797,270,847,1438,4314,84,0,0
16.989798,268,852,1432,4332,84,0,0
17.009798,256,812,1401,4107,86,0,0
17.029799,249,784,1373,4128,84,0,0
17.049797,268,841,1428,4232,85,0,0
17.069798,266,844,1422,4330,83,0,0
17.089798,259,818,1409,4322,82,0,0
17.109798,244,788,1377,4095,86,0,0
17.129797,270,845,1432,4232,85,0,0
17.169798,259,860,1405,4224,87,0,0
17.189798,248,788,1373,4125,84,0,0
17.209797,257,816,1367,4041,86,0,0
17.229797,270,882,1434,4307,86,0,0
17.289797,244,783,1359,4075,85,0,0
17.309797,267,842,1423,4274,84,0,0
17.329798,274,834,1418,4199,83,0,0
17.349798,257,812,1390,4130,85,0,0
17.369799,247,774,1358,4029,84,0,0
17.389797,264,817,1372,4140,82,0,0
17.409798,272,832,1416,4144,84,0,0
17.429798,262,827,1405,4167,85,0,0
17.449799,250,787,1377,4062,85,0,0
17.469797,239,746,1339,3961,84,0,0
17.489798,265,825,1408,4118,85,0,0
17.509798,263,793,1401,4056,84,0,0
17.529799,253,792,1380,4151,83,0,0
17.549797,242,755,1345,4034,83,0,0
17.569798,248,779,1334,3997,84,0,0
17.629797,242,766,1349,4050,84,0,0
17.649797,242,754,1322,3960,83,0,0
17.669798,261,845,1398,4239,85,0,0
17.689798,257,819,1390,4113,86,0,0
17.709797,245,784,1358,4018,86,0,0
17.729797,236,713,1328,3938,82,0,0
17.749798,260,825,1396,4184,84,0,0
17.769798,258,821,1391,4173,85,0,0
17.789797,252,772,1377,4030,84,0,0
17.809797,240,755,1341,3975,85,0,0
17.829798,241,753,1316,3946,83,0,0
17.849798,259,821,1424,4129,87,0,0
17.869799,256,797,1390,4058,85,0,0
17.889797,247,761,1354,4117,81,0,0
17.969797,242,755,1351,3994,85,0,0
18.009798,265,816,1403,4206,82,0,0
18.029799,260,807,1429,4199,85,0,0
18.049797,250,773,1372,4014,85,0,0
18.069798,240,763,1346,4033,85,0,0
18.089798,262,816,1396,4118,85,0,0
18.109798,261,836,1351,4152,83,0,0
18.129797,257,833,1396,4158,86,0,0
18.149797,246,776,1362,4039,85,0,0
18.169798,250,780,1368,4033,85,0,0
18.189798,260,832,1420,4263,85,0,0
18.209797,262,808,1412,4186,84,0,0
18.229797,249,776,1375,4069,84,0,0
18.289797,259,809,1403,4158,84,0,0
18.309797,246,760,1366,4017,84,0,0
18.329798,243,756,1339,3960,84,0,0
18.349798,267,847,1423,4275,84,0,0
18.369799,264,838,1417,4196,85,0,0
18.389797,253,788,1384,4156,83,0,0
18.409798,242,753,1367,3840,88,0,0
18.449799,264,829,1412,4179,85,0,0
18.469797,253,786,1388,4112,84,0,0
18.489798,243,780,1358,4020,86,0,0
18.509798,260,845,1451,4031,91,0,0
18.529799,260,812,1405,4176,84,0,0
18.549797,255,798,1383,4185,83,0,0
18.629797,261,814,1410,4121,85,0,0
18.649797,248,776,1373,4123,83,0,0
18.669798,264,856,1402,4154,87,0,0
18.689798,265,849,1424,4281,85,0,0
18.709797,262,842,1414,4246,85,0,0
18.729797,250,781,1430,4106,87,0,0
18.749798,262,818,1393,4172,83,0,0
18.769798,264,849,1425,4220,86,0,0
18.789797,261,832,1418,4187,86,0,0
18.809797,249,777,1376,4058,85,0,0
18.829798,244,762,1351,4012,84,0,0
18.849798,271,856,1440,4323,84,0,0
18.869799,267,847,1447,4347,84,0,0
18.889797,256,814,1405,4159,86,0,0
18.949799,266,839,1431,4195,86,0,0
18.969797,258,822,1416,4312,83,0,0
18.989798,247,752,1408,4102,84,0,0
19.009798,266,843,1425,4262,85,0,0
19.029799,262,828,1424,4266,84,0,0
19.049797,257,815,1400,4273,83,0,0
19.069798,247,767,1374,4122,83,0,0
19.089798,265,829,1414,4225,84,0,0
19.109798,266,838,1435,4303,84,0,0
19.129797,262,828,1422,4276,84,0,0
19.149797,249,781,1388,4157,84,0,0
19.169798,258,786,1364,4064,82,0,0
19.189798,279,846,1439,4273,82,0,0
19.209797,263,830,1431,4227,85,0,0
19.289797,264,815,1422,4264,83,0,0
19.309797,254,804,1397,4181,84,0,0
19.329798,243,767,1365,4105,84,0,0
19.349798,276,837,1431,4238,82,0,0
19.369799,263,825,1418,4251,84,0,0
19.389797,253,799,1393,4128,85,0,0
19.409798,243,768,1375,4027,86,0,0
19.429798,264,851,1403,4209,85,0,0
19.449799,264,826,1420,4266,83,0,0
19.469797,260,812,1410,4266,83,0,0
19.489798,247,759,1371,4055,83,0,0
19.509798,253,798,1354,4008,85,0,0
19.529799,264,826,1459,4272,85,0,0
19.549797,261,822,1413,4243,84,0,0
19.609798,261,816,1415,4189,85,0,0
19.629797,258,813,1402,4134,85,0,0
19.649797,246,775,1368,4045,85,0,0
19.669798,262,808,1383,4130,83,0,0
19.689798,267,849,1439,4284,85,0,0
19.709797,264,825,1420,4258,83,0,0
19.729797,253,791,1412,4083,86,0,0
19.749798,249,785,1356,3943,86,0,0
19.769798,269,834,1431,4212,84,0,0
19.789797,266,829,1420,4183,85,0,0
19.809797,253,790,1385,4092,85,0,0
19.829798,246,763,1359,4143,82,0,0
19.849798,268,847,1422,4336,83,0,0
19.869799,266,826,1414,4167,84,0,0
19.889797,252,787,1381,4145,83,0,0
19.949799,267,830,1442,4232,85,0,0
19.969797,255,796,1387,4179,83,0,0
19.989798,255,765,1352,4014,81,0,0
20.009798,268,848,1410,4160,86,0,0
20.029799,267,833,1413,4113,86,0,0
20.049797,252,812,1380,4194,84,0,0
20.069798,248,803,1365,4020,87,0,0
20.089798,238,744,1332,3999,83,0,0
20.109798,265,826,1410,4154,85,0,0
20.129797,271,818,1401,4129,83,0,0
20.149797,251,783,1379,3998,86,0,0
20.169798,241,748,1332,4017,83,0,0
20.189798,264,820,1401,4136,84,0,0
20.209797,265,811,1396,4107,84,0,0
20.269798,244,774,1316,3892,86,0,0
20.289797,265,816,1402,4127,84,0,0
20.309797,266,803,1393,4139,82,0,0
20.329798,244,761,1357,3991,85,0,0
20.349798,235,732,1320,3899,84,0,0
20.369799,251,791,1351,3894,87,0,0
20.389797,258,789,1382,4063,84,0,0
20.409798,250,778,1369,4033,85,0,0
20.429798,239,737,1336,3930,84,0,0
20.449799,230,716,1306,3856,84,0,0
20.469797,264,792,1381,4108,81,0,0
20.489798,255,789,1374,4117,83,0,0
20.509798,239,743,1341,3950,85,0,0
20.529799,234,714,1311,3930,82,0,0
20.549797,255,759,1336,4050,79,0,0
20.609798,235,727,1316,4004,82,0,0
20.629797,240,756,1313,4028,82,0,0
20.649797,253,789,1383,4069,85,0,0
20.669798,250,778,1420,4050,87,0,0
20.689798,239,739,1382,3949,87,0,0
20.709797,242,765,1327,3830,87,0,0
20.729797,252,800,1380,4073,86,0,0
20.749798,249,773,1369,3959,86,0,0
20.769798,238,743,1336,3937,85,0,0
20.789797,244,770,1326,3994,84,0,0
20.809797,259,803,1391,4106,84,0,0
20.829798,256,787,1387,4081,84,0,0
20.849798,245,759,1355,3957,85,0,0
20.869799,237,747,1326,3811,87,0,0
20.949799,240,753,1351,3968,85,0,0
20.969797,263,837,1407,4134,86,0,0
21.009798,251,786,1395,4135,85,0,0
21.029799,244,757,1346,4012,83,0,0
21.049797,267,836,1415,4265,83,0,0
21.069798,265,837,1407,4144,86,0,0
21.089798,254,795,1381,3960,87,0,0
21.109798,246,759,1353,4058,83,0,0
21.129797,268,839,1408,4145,85,0,0
21.149797,269,841,1413,4235,84,0,0
21.169798,263,824,1403,4212,84,0,0
21.189798,252,788,1370,3932,87,0,0
21.209797,247,771,1343,4030,83,0,0
21.289797,254,774,1354,4068,82,0,0
21.309797,272,851,1425,4272,84,0,0
21.329798,269,852,1416,4201,85,0,0
21.349798,258,806,1387,4082,85,0,0
21.369799,251,772,1357,4071,82,0,0
21.389797,262,811,1374,4034,85,0,0
21.409798,268,851,1423,4186,86,0,0
21.429798,265,828,1393,4228,82,0,0
21.449799,251,795,1368,4113,84,0,0
21.469797,240,750,1343,3948,85,0,0
21.489798,265,838,1399,4311,82,0,0
21.509798,262,818,1400,4111,85,0,0
21.529799,255,790,1385,4084,84,0,0
21.549797,243,771,1351,4049,84,0,0
21.609798,254,796,1389,4095,85,0,0
21.629797,246,752,1351,3952,84,0,0
21.649797,243,758,1327,3919,85,0,0
21.669798,267,823,1413,4229,83,0,0
21.689798,259,810,1403,4274,82,0,0
21.709797,246,734,1364,4035,81,0,0
21.729797,236,761,1362,3894,89,0,0
21.749798,260,817,1415,4138,86,0,0
21.769798,259,807,1398,4193,83,0,0
21.789797,257,784,1383,4088,83,0,0
21.809797,241,769,1352,4033,85,0,0
21.829798,260,808,1406,4116,85,0,0
21.849798,257,802,1395,4123,85,0,0
21.869799,252,786,1385,4157,83,0,0
