Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
102.55487,7,36,3,11,93,153,288
102.57487,7,35,3,11,92,152,290
102.59487,7,35,3,11,92,152,290
102.61487,7,35,3,12,88,150,291
102.63487,7,35,3,12,88,150,291
102.65487,7,36,3,12,89,151,289
102.67487,7,36,3,11,93,153,288
102.69487,7,35,3,11,92,152,290
102.714874,7,35,3,11,92,152,290
102.73487,7,35,3,12,88,150,291
102.75487,7,35,3,12,88,150,291
102.77487,8,35,3,12,83,150,299
102.79487,8,35,3,11,87,152,297
102.81487,8,35,3,11,87,152,297
102.83487,8,35,3,11,87,152,297
102.85487,8,35,3,12,83,150,299
102.87487,8,36,2,12,59,141,303
102.894875,8,36,2,11,65,143,302
102.91487,7,35,3,12,88,150,291
102.93487,7,36,3,12,89,151,289
102.95487,7,36,3,11,93,153,288
102.97487,8,35,3,12,83,150,299
102.99487,8,35,3,12,83,150,299
103.01487,8,36,2,12,59,141,303
103.034874,7,36,3,11,93,153,288
103.05487,7,36,3,12,89,151,289
103.07487,8,36,3,11,88,152,296
103.09487,8,36,3,12,84,150,297
103.11487,8,35,2,12,57,141,305
103.13487,7,36,3,12,89,151,289
103.15487,8,36,3,12,84,150,297
103.17487,8,35,3,12,83,150,299
103.19487,8,36,2,12,59,141,303
103.214874,7,35,3,12,88,150,291
103.23487,8,36,3,11,88,152,296
103.25487,8,36,3,12,84,150,297
103.27487,8,36,2,12,59,141,303
103.29487,7,35,3,12,88,150,291
103.31487,7,35,3,12,88,150,291
103.33487,8,36,3,12,84,150,297
103.35487,8,35,3,12,83,150,299
103.37487,7,36,3,12,89,151,289
103.394875,7,36,3,12,89,151,289
103.41487,8,35,3,12,83,150,299
103.43487,8,35,3,12,83,150,299
103.45487,7,36,3,11,93,153,288
103.47487,7,35,3,12,88,150,291
103.49487,7,35,3,12,88,150,291
103.51487,8,36,3,11,88,152,296
103.534874,8,36,3,12,84,150,297
103.55487,7,35,3,12,88,150,291
103.57487,7,35,3,12,88,150,291
103.59487,7,35,3,12,88,150,291
103.61487,8,35,3,11,87,152,297
103.63487,8,35,3,12,83,150,299
103.65487,7,36,3,12,89,151,289
103.67487,7,36,3,12,89,151,289
103.69487,8,35,3,12,83,150,299
103.714874,8,36,3,12,84,150,297
103.73487,7,35,3,12,88,150,291
103.75487,7,36,3,12,89,151,289
103.77487,8,35,3,12,83,150,299
103.79487,8,35,3,12,83,150,299
103.81487,7,36,3,12,89,151,289
103.83487,8,36,3,12,84,150,297
103.85487,8,35,3,12,83,150,299
103.87487,7,35,3,13,84,149,292
103.894875,7,36,3,12,89,151,289
103.91487,8,35,3,12,83,150,299
103.93487,8,35,3,13,78,148,300
103.97487,8,35,3,13,78,148,300
103.99487,7,35,3,13,84,149,292
104.01487,7,35,3,13,84,149,292
104.034874,8,36,3,12,84,150,297
104.05487,8,35,3,12,83,150,299
104.07487,7,35,3,13,84,149,292
