Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
38.363663,3554,974,9277,3441,79,43,85
38.383663,3514,964,9987,3624,78,44,84
38.40366,3540,965,9034,3521,81,42,86
38.42366,3200,975,9313,3513,76,44,79
38.44366,3146,973,9495,3511,74,44,78
38.46366,3099,976,9451,3403,73,45,76
38.48366,3517,963,9094,3483,80,43,85
38.503662,3542,973,9405,3507,79,43,85
38.523663,3538,967,9339,3512,80,43,85
38.543663,3480,957,9278,3693,82,42,86
38.56366,3527,967,9310,3481,79,43,85
38.58366,3544,969,9268,3509,80,43,85
38.60366,3513,974,10149,3558,76,45,83
38.62366,3462,949,9228,3483,80,43,85
38.683662,3500,958,9207,3618,81,42,86
38.703663,3461,951,9546,3500,78,44,84
38.723663,3537,970,9848,3512,77,44,84
38.74366,3217,967,9438,3513,76,44,79
38.76366,3483,958,9301,3493,79,43,85
38.78366,3484,946,9218,3630,82,42,86
38.80366,3124,968,9413,3508,75,44,78
38.82366,3505,964,9213,3504,80,43,85
38.843662,3470,959,9273,3489,79,43,84
38.863663,3498,974,10052,3485,76,45,83
38.883663,3518,968,9314,3505,79,43,85
38.90366,3500,963,9325,3510,79,43,85
38.92366,3460,929,9097,3333,79,44,86
38.94366,3507,958,9270,3618,81,42,86
39.003662,3404,952,9303,3526,79,43,84
39.023663,3206,965,9334,3528,76,43,80
39.043663,3523,967,9403,3763,82,42,86
39.06366,3484,960,9359,3692,81,42,85
39.08366,3045,950,10089,3383,70,46,76
39.10366,3157,969,9502,3710,77,43,79
39.12366,3514,953,9406,3532,80,43,85
39.14366,3489,960,9275,3574,80,43,85
39.163662,3447,951,9458,3499,79,43,84
39.183662,3523,971,9489,3537,79,43,84
39.203663,3525,959,9423,3538,80,43,85
39.223663,3471,958,10141,3712,78,44,84
39.24366,3451,953,9078,3510,80,42,85
39.26366,3525,971,9400,3603,80,43,85
39.343662,3509,969,9380,3601,80,43,85
39.363663,3394,966,9398,3518,78,43,83
39.383663,3458,954,9277,3504,79,43,85
39.40366,3421,945,9242,3619,81,42,85
39.42366,3501,965,10048,3514,77,45,83
39.44366,3476,974,9354,3514,79,43,84
39.46366,3455,953,9313,3501,79,43,84
39.48366,3408,918,9658,3513,79,44,85
