Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
92.55014,533,212,1811,806,72,46,60
92.57014,527,210,1804,803,72,46,60
92.59014,520,207,1752,800,73,45,61
92.61014,539,211,1753,827,75,44,62
92.63014,548,212,1811,806,73,46,62
92.65014,528,210,1805,803,72,46,60
92.670135,521,207,1885,799,69,47,60
92.77014,529,211,1799,800,72,46,60
92.79014,526,211,1802,804,71,46,60
92.810135,527,210,1796,801,72,46,60
92.83014,535,208,1784,797,73,46,62
92.850136,533,212,1798,801,72,46,60
92.87014,536,214,1760,806,73,45,61
92.89014,547,212,1816,804,73,46,62
92.91014,526,210,1795,813,72,45,61
92.93014,547,215,1822,806,72,46,61
92.95014,554,216,1815,810,73,46,62
92.97014,537,214,1807,806,72,46,60
92.990135,531,211,1800,803,72,46,61
93.01014,543,213,1798,809,73,45,61
93.030136,543,217,1816,810,72,46,60
93.05014,541,215,1809,807,72,46,61
93.07014,533,212,1804,803,72,46,60
93.09014,550,223,1818,810,71,46,59
93.11014,550,218,1820,811,72,46,61
93.13014,543,215,1812,807,72,46,61
93.15014,535,213,1777,802,72,45,61
93.170135,546,216,1797,812,73,45,61
93.19014,554,219,1823,813,72,46,61
93.21014,547,217,1816,809,72,46,61
93.310135,542,215,1806,815,73,45,61
93.33014,551,219,1812,809,72,46,61
93.350136,556,221,1823,812,72,46,61
93.37014,556,219,1822,809,72,46,61
93.39014,545,216,1808,806,72,46,61
93.41014,554,220,1883,808,70,47,60
93.43014,555,220,1819,811,72,46,61
93.45014,545,218,1884,809,70,47,60
93.47014,542,215,1804,806,72,46,61
93.490135,554,220,1814,809,72,46,61
93.51014,555,221,1764,812,73,45,61
93.530136,550,218,1815,809,72,46,61
93.55014,544,216,1805,805,72,46,61
93.57014,556,221,1816,810,72,46,61
93.59014,533,222,1822,813,69,46,58
93.61014,575,219,1815,808,74,46,63
93.63014,544,216,1812,805,72,46,61
93.65014,578,220,1837,807,73,46,63
93.670135,558,221,1822,812,72,46,61
93.69014,555,220,1791,811,73,45,61
93.71014,521,217,1809,806,69,46,58
93.73014,563,220,1811,809,73,46,62
93.75014,559,221,1910,812,70,47,60
93.77014,553,219,1815,811,72,46,61
93.87014,534,217,1809,809,71,46,59
93.89014,555,222,1823,813,72,46,60
93.91014,565,224,1836,818,72,46,61
93.93014,584,222,1831,816,74,45,63
93.95014,551,219,1777,811,73,45,61
93.97014,553,220,1789,808,72,45,61
93.990135,568,223,1821,838,74,45,62
94.01014,560,223,1832,815,72,46,60
94.030136,550,219,1822,832,73,45,61
94.05014,557,221,1822,812,72,46,61
94.07014,564,222,1842,816,72,46,61
94.09014,559,222,1870,817,71,46,60
94.11014,564,219,1823,816,73,45,62
94.13014,571,223,1830,814,73,46,62
94.15014,568,225,1876,819,71,46,60
94.170135,560,223,1842,818,72,46,60
94.19014,554,221,1828,813,72,46,60
94.21014,585,225,1836,817,73,46,62
94.23014,570,226,1846,821,72,46,61
94.25014,574,224,1873,818,72,46,61
94.27014,557,221,1831,815,72,46,61
94.29014,569,225,1765,818,74,45,61
94.310135,572,226,1847,820,72,46,61
94.33014,567,225,1842,818,72,46,61
