Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
801.5852,813,270,4162,1384,67,0,0
801.60516,878,271,4192,1379,70,0,0
801.6252,914,277,4160,1397,71,0,0
801.6452,877,278,4090,1428,71,0,0
801.66516,928,276,4461,1415,70,0,0
801.6852,886,274,3882,1388,73,0,0
801.7452,862,277,4231,1399,68,0,0
801.7652,845,273,4395,1470,68,0,0
801.7852,886,280,4471,1393,66,0,0
801.8052,859,281,4058,1404,69,0,0
801.8252,934,278,4398,1399,70,0,0
801.8452,843,272,3888,1385,71,0,0
801.8652,802,275,4115,1381,65,0,0
801.8852,851,276,4251,1389,67,0,0
801.9052,916,274,4426,1387,69,0,0
801.9252,833,271,4133,1377,68,0,0
801.9452,840,274,4031,1376,69,0,0
801.9652,810,277,4406,1386,62,0,0
801.98517,853,275,4398,1397,66,0,0
802.0052,837,270,4353,1379,66,0,0
802.0252,867,272,4389,1373,67,0,0
802.04517,855,280,4143,1393,68,0,0
802.10516,833,274,4386,1386,65,0,0
802.1252,846,280,3917,1389,70,0,0
802.1452,896,286,3826,1425,73,0,0
802.16516,954,284,4440,1438,70,0,0
802.1852,880,280,4412,1397,66,0,0
802.2052,879,280,4378,1409,67,0,0
802.2252,901,285,4226,1406,69,0,0
802.2452,882,284,4436,1406,66,0,0
802.2652,800,279,4393,1395,62,0,0
802.2852,845,272,4297,1378,66,0,0
802.3052,887,273,4227,1373,69,0,0
802.3252,877,278,4379,1383,66,0,0
802.3452,862,275,4382,1380,66,0,0
802.3652,906,270,4068,1369,72,0,0
802.3852,837,264,4255,1356,67,0,0
802.4652,815,263,4045,1349,68,0,0
802.48517,821,265,4005,1346,68,0,0
802.5052,869,269,4029,1354,70,0,0
802.5252,833,253,4287,1359,69,0,0
802.54517,823,266,4067,1355,68,0,0
802.5652,829,263,4201,1344,67,0,0
802.5852,882,271,3780,1358,74,0,0
802.60516,850,273,4063,1367,69,0,0
802.6252,856,271,4216,1384,68,0,0
802.6452,824,266,4241,1355,66,0,0
802.66516,909,271,4289,1403,71,0,0
802.6852,871,274,4328,1370,67,0,0
802.7052,846,273,4109,1369,68,0,0
802.7252,919,269,4269,1358,70,0,0
802.7452,837,271,4334,1358,65,0,0
802.8052,846,272,4323,1360,66,0,0
802.8252,830,267,4050,1350,68,0,0
802.8452,820,279,3780,1364,69,0,0
802.8652,805,273,3769,1370,70,0,0
802.8852,904,270,4304,1365,69,0,0
802.9052,823,266,4065,1355,68,0,0
802.9252,852,265,3758,1380,74,0,0
802.9452,788,272,4090,1367,65,0,0
802.9652,857,272,4108,1363,69,0,0
802.98517,883,268,3710,1357,75,0,0
803.0052,785,269,4058,1367,66,0,0
803.0252,800,272,4065,1356,65,0,0
803.04517,777,275,3904,1386,66,0,0
803.0652,791,264,4272,1357,64,0,0
803.0852,853,275,4310,1364,66,0,0
803.16516,876,282,4188,1378,68,0,0
803.1852,810,283,4369,1385,62,0,0
803.2052,865,279,4174,1380,68,0,0
803.2252,876,280,3896,1371,71,0,0
803.2452,847,284,4146,1382,66,0,0
803.2652,939,282,4264,1382,70,0,0
803.2852,863,279,4078,1375,68,0,0
803.3052,851,273,4238,1374,67,0,0
803.3252,947,280,4331,1418,71,0,0
803.3452,905,281,4075,1378,70,0,0
803.3652,871,278,4052,1371,69,0,0
803.3852,845,272,3726,1360,72,0,0
803.4052,873,278,3780,1386,73,0,0
803.4252,856,279,3871,1367,70,0,0
803.4452,866,277,4261,1362,67,0,0
803.5052,843,279,4294,1361,64,0,0
803.5252,867,279,4308,1365,66,0,0
803.54517,786,276,4268,1360,61,0,0
803.5652,840,271,3982,1349,69,0,0
803.5852,874,276,4260,1370,67,0,0
803.60516,806,280,4090,1361,64,0,0
803.6252,845,279,4280,1364,65,0,0
803.6452,864,275,4052,1354,69,0,0
803.66516,930,273,4260,1349,70,0,0
803.6852,804,280,3922,1357,66,0,0
803.7052,949,279,4314,1360,70,0,0
803.7252,850,275,4250,1352,66,0,0
803.7452,835,270,4173,1358,67,0,0
803.7652,937,277,4256,1347,70,0,0
