Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
801.5852,24170,2407,15359,44935,108,0,0
801.60516,24207,2300,5835,16588,109,0,0
801.6252,24975,2439,38195,17028,100,0,0
801.6452,25592,2443,3872,14961,106,0,0
801.66516,24495,2393,28428,14869,103,0,0
801.6852,23655,2324,54804,15488,92,0,0
801.7452,24615,2432,21390,62684,108,0,0
801.7652,24166,2366,25964,14846,104,0,0
801.7852,25209,2486,22093,15017,106,0,0
801.8052,26113,2519,7389,63870,95,0,0
801.8252,25159,2470,5326,15082,109,0,0
801.8452,24847,2409,38433,14848,98,0,0
801.8652,24846,2449,49985,51144,109,0,0
801.8852,25412,2502,16244,15012,108,0,0
801.9052,25152,2479,40749,14934,97,0,0
801.9252,25315,2421,15980,14782,108,0,0
801.9452,26369,2463,6270,14739,110,0,0
801.9652,25537,2499,14424,16373,109,0,0
801.98517,25875,2469,3858,14972,106,0,0
802.0052,24970,2414,6034,25628,105,0,0
802.0252,24123,2384,6742,17184,109,0,0
802.04517,25894,2515,41191,29826,106,0,0
802.10516,24775,2408,8932,56271,100,0,0
802.1252,25159,2481,37005,55163,110,0,0
802.1452,25876,2546,43457,55137,110,0,0
802.16516,25770,2529,27906,14857,103,0,0
802.1852,26019,2474,8460,14831,110,0,0
802.2052,24502,2428,48438,14523,94,0,0
802.22516,30848,2555,1551,15694,94,0,0
802.2452,25743,2538,18087,30487,110,0,0
802.2652,25157,2476,28441,14671,102,0,0
802.2852,24257,2395,14147,14472,109,0,0
802.3052,24536,2438,20768,14418,106,0,0
802.3252,25987,2500,7973,14656,110,0,0
802.3452,25049,2467,41419,14597,96,0,0
802.3652,24413,2398,13421,14464,109,0,0
802.3852,23786,2323,16435,16160,109,0,0
802.4652,23532,2326,16033,14209,108,0,0
802.48517,23837,2335,7612,32275,105,0,0
802.5052,24696,2418,22034,42912,110,0,0
802.5252,24448,2398,27110,14373,103,0,0
802.54517,23745,2342,6609,14258,110,0,0
802.5652,23483,2274,48805,17762,97,0,0
802.5852,24241,2328,21228,14264,106,0,0
802.60516,24575,2418,17193,14410,108,0,0
802.6252,24468,2382,65070,14607,88,0,0
802.6452,23582,2322,2636,14131,102,0,0
802.66516,24048,2368,18977,14955,107,0,0
802.6852,24599,2417,44429,14351,95,0,0
802.7052,24629,2406,10622,55251,103,0,0
802.72516,23958,2352,17841,14187,107,0,0
802.7452,24319,2367,18591,14056,107,0,0
802.8052,24045,2358,27882,14150,102,0,0
802.8252,23253,2294,14543,13962,109,0,0
802.8452,24636,2429,2647,14286,102,0,0
802.8652,24803,2435,495,14268,68,0,0
802.8852,24230,2384,5405,58870,90,0,0
802.9052,23558,2317,625,13991,74,0,0
802.9252,23952,2366,14231,13953,109,0,0
802.9452,24625,2393,9636,14970,110,0,0
802.9652,24430,2405,4688,15242,107,0,0
802.98517,23898,2352,42213,43039,109,0,0
803.0052,24177,2387,53638,42638,107,0,0
803.0252,24679,2423,62043,14224,88,0,0
803.04517,24450,2393,5027,14146,109,0,0
803.0652,23847,2347,5915,14732,109,0,0
803.0852,24369,2396,18554,28121,110,0,0
803.16516,25373,2473,53422,15658,93,0,0
803.1852,25817,2496,17167,39193,110,0,0
