Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
801.5852,757,333,2976,1445,71,0,0
801.60516,795,335,2985,1456,74,0,0
801.6252,812,346,2852,1464,76,0,0
801.6452,792,343,2998,1460,72,0,0
801.6652,772,342,2913,1448,72,0,0
801.6852,799,345,2923,1460,74,0,0
801.7452,775,338,2906,1447,73,0,0
801.7652,786,340,2897,1443,73,0,0
801.7852,787,347,2931,1459,72,0,0
801.8052,796,340,2858,1472,76,0,0
801.8252,742,342,2905,1413,68,0,0
801.8452,726,331,2870,1431,70,0,0
801.8652,773,343,2900,1442,72,0,0
801.8852,806,336,2899,1457,76,0,0
801.9052,764,338,2919,1438,72,0,0
801.9252,761,343,2948,1380,67,0,0
801.9452,810,344,2860,1441,75,0,0
801.9652,773,343,2967,1444,71,0,0
801.98517,777,339,2930,1437,72,0,0
802.0052,761,332,2891,1423,72,0,0
802.0252,795,343,2966,1440,72,0,0
802.04517,780,351,2948,1478,72,0,0
802.10516,800,337,2931,1436,74,0,0
802.1252,842,355,2952,1470,75,0,0
802.1452,817,357,2932,1477,73,0,0
802.1652,821,352,3015,1462,72,0,0
802.1852,805,342,2936,1447,74,0,0
802.2052,808,354,2843,1478,75,0,0
802.2252,819,357,2993,1463,72,0,0
802.2452,815,352,2963,1453,73,0,0
802.2652,797,344,2886,1446,74,0,0
802.2852,755,335,2888,1423,71,0,0
802.3052,806,348,2944,1439,72,0,0
802.3252,838,348,2913,1441,75,0,0
802.3452,804,342,2825,1431,75,0,0
802.3652,740,334,2834,1442,72,0,0
802.3852,750,332,2809,1414,73,0,0
802.4652,746,325,2867,1397,72,0,0
802.48517,753,320,2844,1408,74,0,0
802.5052,763,338,2910,1417,71,0,0
802.5252,762,336,2786,1407,73,0,0
802.54517,777,329,2879,1400,73,0,0
802.5652,763,339,2871,1398,71,0,0
802.5852,775,340,2880,1414,72,0,0
802.60516,776,333,2826,1373,72,0,0
802.6252,763,334,2891,1404,71,0,0
802.6452,767,337,2803,1389,72,0,0
802.6652,794,339,2857,1398,73,0,0
802.6852,778,339,2901,1456,73,0,0
802.7052,753,335,2838,1404,71,0,0
802.7252,760,327,2786,1391,74,0,0
802.7452,771,338,2812,1411,73,0,0
802.8052,751,324,2700,1421,76,0,0
802.8252,767,334,2840,1394,72,0,0
802.8452,796,340,2878,1405,73,0,0
802.8652,772,337,2876,1403,72,0,0
802.8852,723,330,2854,1366,68,0,0
802.9052,745,324,2687,1433,77,0,0
802.9252,794,337,2802,1401,75,0,0
802.9452,765,339,2812,1445,74,0,0
802.9652,782,335,2743,1400,75,0,0
802.98517,754,336,2806,1389,71,0,0
803.0052,780,341,2867,1400,72,0,0
803.0252,782,334,2870,1377,72,0,0
803.04517,771,336,2850,1399,72,0,0
803.0652,758,331,2805,1349,71,0,0
803.0852,824,344,2869,1404,74,0,0
803.1652,762,348,2866,1393,69,0,0
803.1852,795,350,2870,1406,71,0,0
803.2052,781,339,2860,1361,71,0,0
803.2252,816,351,2865,1418,73,0,0
803.2452,811,348,2878,1407,73,0,0
803.2652,796,343,2842,1400,73,0,0
803.2852,736,336,2743,1401,72,0,0
803.3052,790,351,2820,1376,71,0,0
803.3252,779,345,2852,1387,71,0,0
803.3452,817,341,2840,1378,74,0,0
803.3652,809,335,2798,1369,75,0,0
803.3852,766,333,2786,1364,72,0,0
803.4052,790,352,2826,1382,71,0,0
803.4252,779,343,2773,1382,72,0,0
803.4452,762,337,2818,1375,71,0,0
803.5052,781,347,2772,1385,72,0,0
803.5252,804,345,2653,1382,76,0,0
803.54517,760,339,2743,1371,72,0,0
803.5652,735,326,2754,1356,71,0,0
803.5852,818,344,2765,1375,75,0,0
803.60516,782,345,2817,1380,71,0,0
803.6252,781,341,2670,1369,74,0,0
803.6452,763,333,2718,1356,73,0,0
803.6652,785,342,2795,1369,72,0,0
803.6852,789,348,2810,1372,71,0,0
803.7052,778,338,2632,1366,75,0,0
803.7252,768,331,2708,1307,72,0,0
803.7452,803,334,2754,1353,75,0,0
803.7652,770,345,2790,1376,71,0,0
803.7852,782,340,2758,1362,73,0,0
803.8652,798,337,2724,1363,75,0,0
803.8852,764,333,2703,1353,73,0,0
803.9052,768,332,2691,1341,73,0,0
803.9252,807,336,2760,1346,74,0,0
803.9452,774,339,2796,1361,71,0,0
803.9652,799,333,2756,1352,74,0,0
803.98517,774,325,2760,1351,74,0,0
804.0052,766,330,2734,1338,73,0,0
804.0252,768,339,2766,1358,71,0,0
804.04517,802,329,2827,1333,73,0,0
804.0652,774,332,2728,1327,72,0,0
804.0852,713,325,2749,1374,71,0,0
804.10516,794,333,2716,1349,75,0,0
804.1252,783,340,2711,1357,73,0,0
804.1452,763,344,2738,1351,71,0,0
804.2052,730,332,2765,1348,69,0,0
804.2252,735,336,2772,1341,69,0,0
804.2452,779,328,2683,1336,75,0,0
804.2652,741,326,2614,1327,73,0,0
804.2852,768,333,2690,1347,74,0,0
804.3052,785,341,2697,1348,73,0,0
804.3252,769,330,2680,1339,74,0,0
804.3452,741,323,2710,1330,72,0,0
804.3652,787,340,2691,1341,73,0,0
804.3852,778,339,2717,1351,73,0,0
804.4052,770,335,2775,1348,72,0,0
804.4252,759,330,2676,1339,73,0,0
804.4452,752,331,2664,1332,73,0,0
804.4652,755,340,2743,1352,71,0,0
804.48517,781,339,2622,1355,75,0,0
804.5652,783,340,2707,1353,73,0,0
804.5852,770,335,2613,1345,75,0,0
804.60516,771,329,2626,1339,75,0,0
804.6252,774,337,2683,1345,73,0,0
804.6452,798,347,2705,1354,73,0,0
804.6652,810,339,2706,1354,75,0,0
804.6852,764,332,2686,1290,71,0,0
804.7052,757,329,2757,1398,74,0,0
804.7252,804,342,2702,1354,75,0,0
804.7452,787,342,2674,1362,74,0,0
804.7652,804,336,2744,1391,76,0,0
804.7852,751,329,2677,1341,73,0,0
804.8052,739,338,2671,1333,70,0,0
804.8252,752,339,2640,1353,73,0,0
804.8452,776,338,2744,1354,72,0,0
804.9052,783,341,2722,1356,73,0,0
804.9252,780,339,2710,1359,73,0,0
804.9452,779,335,2691,1350,74,0,0
804.9652,760,331,2675,1343,73,0,0
804.98517,792,345,2794,1364,72,0,0
805.0052,804,340,2781,1369,74,0,0
805.0252,792,346,2782,1364,72,0,0
805.04517,782,334,2703,1354,74,0,0
805.0652,805,351,2724,1367,73,0,0
805.0852,824,350,2655,1379,76,0,0
805.10516,790,346,2769,1374,72,0,0
805.1252,775,340,2768,1367,72,0,0
805.1452,830,342,2819,1373,75,0,0
805.1652,808,359,2749,1379,72,0,0
805.1852,810,348,2785,1376,73,0,0
805.2452,818,350,2797,1373,73,0,0
805.2652,805,358,2809,1397,72,0,0
805.2852,832,354,2739,1372,74,0,0
