Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
20.095146,417,159,2507,1082,72,75,98
20.115147,415,157,2601,1039,69,77,98
20.135147,414,160,2517,1085,72,75,98
20.155148,414,159,2636,1088,70,76,97
20.175146,415,157,2550,1084,72,75,99
20.195147,420,161,2641,1097,70,76,98
20.215147,422,165,2682,1098,68,76,96
20.235147,430,160,2655,1108,72,76,99
20.255146,430,165,2747,1108,69,77,97
20.275146,434,166,2706,1112,70,76,98
20.295147,435,164,2651,1109,71,76,99
20.315147,440,168,2824,1118,68,77,97
20.335146,450,172,2695,1120,70,76,98
20.355146,447,167,2730,1114,71,76,99
20.375147,441,165,2543,1095,73,75,100
20.395147,465,169,2652,1120,73,75,101
20.415146,453,169,2575,1119,74,75,100
20.435146,447,166,2671,1110,72,76,99
20.455147,452,170,2555,1116,74,75,99
20.475147,447,170,2677,1115,71,76,98
20.495148,447,167,2661,1109,72,76,99
20.515146,453,167,2647,1113,73,76,100
20.535147,447,171,2686,1116,70,76,98
20.555147,449,170,2662,1114,71,76,98
20.575148,448,167,2649,1114,72,76,99
20.595146,450,172,2667,1113,70,76,98
20.615147,449,172,2680,1114,70,76,98
20.635147,447,169,2664,1110,71,76,98
20.655148,442,166,2646,1101,71,76,99
20.675146,447,171,2712,1113,70,76,98
20.695147,447,167,2667,1110,71,76,99
20.715147,445,168,2738,1109,70,76,98
20.735147,439,165,2758,1098,69,77,98
20.755146,443,170,2658,1108,70,76,98
20.875147,434,163,2609,1102,72,76,99
20.895147,442,166,2641,1103,71,76,99
20.915146,436,165,2644,1101,71,76,98
20.935146,437,163,2639,1095,71,76,99
20.955147,430,158,2624,1087,72,76,100
20.975147,420,165,2652,1103,69,76,96
20.995148,435,164,2574,1103,72,75,99
21.015146,433,161,2634,1093,72,76,99
21.035147,418,166,2652,1147,70,75,96
21.055147,435,166,2663,1105,70,76,98
21.075148,431,163,2518,1098,73,75,99
21.095146,434,166,2642,1101,70,76,98
21.115147,432,166,2696,1104,69,76,97
21.135147,434,165,2641,1102,71,76,98
21.155148,430,162,2625,1094,71,76,99
21.175146,431,167,2648,1105,70,76,97
21.195147,429,166,2645,1105,70,76,97
21.215147,429,164,2706,1098,69,77,97
21.235147,429,167,2644,1104,70,76,97
21.255146,422,167,2642,1106,69,76,96
21.275146,433,165,2632,1100,71,76,98
21.295147,430,163,2621,1130,73,75,99
21.315147,435,168,2588,1103,71,75,98
21.335146,434,167,2714,1102,69,77,97
21.355146,435,165,2624,1093,71,76,98
21.375147,435,168,2638,1103,70,76,97
21.395147,437,168,2724,1101,69,77,97
21.415146,438,166,2633,1096,71,76,98
21.435146,434,163,2576,1090,72,75,99
21.455147,438,169,2633,1100,70,76,97
21.475147,441,169,2767,1100,68,77,97
21.495148,444,165,2686,1091,71,76,99
21.515146,443,169,2625,1111,71,76,98
21.655148,449,171,2624,1095,71,76,98
21.675146,453,172,2621,1096,71,76,98
21.695147,452,168,2605,1088,72,76,99
21.715147,462,172,2744,1098,70,77,99
21.735147,458,173,2543,1101,73,75,99
21.755146,450,171,2550,1095,72,75,99
21.775146,453,170,2538,1085,73,75,99
21.795147,460,174,2542,1099,73,75,99
21.815147,475,174,2539,1098,74,75,101
21.835146,455,171,2604,1089,71,76,99
21.855146,461,175,2634,1095,71,76,98
21.875147,466,175,2577,1095,72,75,99
21.895147,462,172,2601,1089,72,76,99
21.915146,454,169,2580,1081,72,76,99
21.935146,458,174,2703,1092,69,77,98
21.955147,464,173,2627,1077,71,76,99
21.975147,443,170,2661,1081,69,76,97
21.995148,472,173,2584,1086,73,75,100
22.015146,470,173,2589,1085,73,76,100
22.035147,462,170,2571,1080,73,76,100
22.055147,451,169,2546,1070,72,76,99
22.075148,451,171,2540,1080,72,75,99
22.095146,448,169,2511,1078,73,75,99
22.115147,445,166,2553,1069,72,76,99
22.135147,438,171,2505,1080,71,75,97
22.155148,451,170,2577,1079,71,76,99
22.175146,447,167,2557,1073,72,76,99
22.195147,451,171,2575,1083,71,76,98
