Time,Ir1,Ir2,Red1,Red2,RsO2,Hb,HbO2
20.095146,425,1272,2182,6596,80,19,0
20.115147,414,1255,2177,6598,80,19,0
20.135147,416,1282,2187,6696,81,19,0
20.155146,416,1254,2186,6611,80,19,0
20.175146,415,1262,2190,6614,81,19,0
20.195147,421,1272,2202,6664,80,19,0
20.215147,424,1300,2252,6686,83,19,0
20.235146,417,1283,2208,6631,82,19,0
20.255146,430,1247,2233,6692,78,19,0
20.275146,435,1331,2243,6715,82,19,0
20.295147,435,1315,2247,6682,82,19,0
20.315145,442,1351,2317,6847,83,19,0
20.335146,453,1361,2291,6882,80,19,0
20.355146,447,1341,2282,7019,78,18,0
20.375147,447,1330,2330,6852,82,19,0
20.395145,443,1361,2293,7151,79,18,0
20.415146,458,1355,2361,7069,80,19,0
20.435146,447,1381,2202,6931,79,18,0
20.455147,452,1366,2343,6986,82,19,0
20.475145,451,1368,2293,6913,81,19,0
20.495146,447,1342,2280,7023,78,18,0
20.515146,447,1341,2258,7099,76,18,0
20.535147,450,1375,2350,7075,82,19,0
20.555145,448,1365,2238,7062,77,18,0
20.575146,454,1340,2278,6902,78,19,0
20.595146,448,1373,2279,6871,82,19,0
20.615147,450,1376,2277,7141,78,18,0
20.635147,447,1359,2288,7007,80,18,0
20.655146,442,1332,2330,6802,83,19,0
20.675146,450,1372,2271,7143,78,18,0
20.695147,449,1372,2318,6888,83,19,0
20.715147,445,1349,2267,6919,80,19,0
20.735146,434,1323,2325,6922,82,19,0
20.755146,444,1360,2291,6853,82,19,0
20.875147,434,1306,2228,6782,79,19,0
20.895145,432,1336,2238,6758,82,19,0
20.915146,441,1328,2237,6817,79,19,0
20.935146,428,1306,2267,6928,80,19,0
20.955147,432,1301,2225,6791,79,18,0
20.975145,438,1328,2226,6963,78,18,0
20.995146,435,1319,2231,6663,82,19,0
21.015146,426,1294,2249,6733,82,19,0
21.035147,435,1330,2236,6756,81,19,0
21.055145,435,1261,2212,6843,75,18,0
21.075146,442,1308,2296,6865,80,19,0
21.095146,434,1333,2224,6606,83,19,0
21.115147,435,1334,2231,6688,82,19,0
21.135147,434,1321,2229,6785,80,19,0
21.155146,430,1288,2218,6698,80,19,0
21.175146,434,1336,2229,6931,79,18,0
21.195147,432,1332,2227,6734,82,19,0
21.215147,429,1315,2219,6891,79,18,0
21.235146,440,1341,2225,6655,82,19,0
21.255146,438,1341,2249,6717,82,19,0
21.275146,432,1325,2218,6704,81,19,0
21.295147,429,1307,2211,6685,81,19,0
21.315145,434,1345,2222,6663,83,19,0
21.335146,435,1321,2225,6913,78,18,0
21.355146,433,1320,2223,6699,81,19,0
21.375147,436,1309,2223,6928,77,18,0
21.395145,438,1349,2230,6709,82,19,0
21.415146,437,1333,2223,6736,81,19,0
21.435146,435,1312,2216,6696,80,19,0
21.455147,440,1350,2204,6739,81,19,0
21.475145,450,1348,2230,6639,81,19,0
21.495146,443,1324,2226,6616,81,19,0
21.515146,443,1353,2233,6729,81,19,0
21.655146,453,1368,2238,6639,82,19,0
21.675146,453,1367,2263,6734,82,19,0
21.695147,452,1394,2235,6718,82,19,0
21.715147,457,1382,2324,6649,85,20,0
21.735146,458,1389,2191,6994,76,18,0
21.755146,462,1371,2249,6879,78,18,0
21.775146,453,1420,2238,6765,83,19,0
21.795147,460,1401,2339,6797,84,20,0
21.815145,459,1394,2255,6879,80,19,0
21.835146,455,1371,2241,6830,79,19,0
21.855146,459,1403,2250,7000,79,18,0
21.875147,461,1402,2249,6766,81,19,0
21.895145,456,1382,2248,6801,81,19,0
21.915146,454,1359,2235,6773,79,19,0
21.935146,458,1397,2243,6952,79,18,0
21.955147,457,1388,2243,6844,80,19,0
21.975145,444,1361,2231,6864,80,18,0
21.995146,455,1388,2282,6957,80,19,0
22.015146,455,1384,2231,6597,83,19,0
22.035147,445,1358,2226,6707,81,19,0
22.055145,451,1354,2266,6687,82,19,0
22.075146,450,1369,2223,6789,80,19,0
22.095146,448,1358,2220,6735,80,19,0
22.115147,446,1330,2212,6696,79,19,0
22.135147,455,1370,2223,6691,80,19,0
22.155146,451,1365,2225,6907,78,18,0
22.175146,447,1342,2216,6539,82,19,0
22.195147,451,1373,2223,6681,81,19,0
22.215147,453,1384,2230,6692,82,19,0
22.235146,457,1357,2219,6964,75,18,0
22.255146,453,1374,2222,6719,81,19,0
22.275146,456,1382,2233,6592,83,19,0
22.395145,453,1387,2262,6598,84,20,0
22.415146,465,1385,2273,6756,81,19,0
22.435146,455,1364,2250,6851,79,19,0
22.455147,451,1357,2225,6622,81,19,0
22.475145,463,1368,2204,6740,77,18,0
22.495146,454,1364,2229,6821,79,18,0
22.515146,449,1398,2223,6628,84,19,0
22.535147,459,1370,2228,6976,76,18,0
22.555145,457,1366,2225,6852,78,18,0
22.575146,448,1340,2222,6845,78,18,0
22.595146,453,1376,2226,6970,78,18,0
22.615147,454,1377,2230,6734,81,19,0
22.635147,452,1361,2229,6853,79,18,0
22.655146,454,1376,2223,6693,81,19,0
22.675146,460,1384,2273,6878,80,19,0
22.695147,450,1374,2274,6801,82,19,0
22.715147,453,1365,2243,6885,79,18,0
22.735146,459,1392,2247,6866,80,19,0
22.755146,462,1386,2253,6716,81,19,0
22.775146,457,1360,2241,6843,78,18,0
22.795147,464,1389,2176,7077,73,17,0
22.815145,462,1388,2216,6851,78,18,0
22.835146,458,1425,2241,6735,83,19,0
22.855146,462,1393,2249,6946,78,18,0
22.875147,463,1391,2259,6904,79,18,0
22.895145,460,1432,2248,6745,83,19,0
22.915146,456,1395,2250,6743,82,19,0
22.935146,464,1399,2257,6841,80,19,0
22.955147,464,1422,2259,6885,81,19,0
23.075146,469,1410,2217,6760,79,19,0
23.095146,454,1431,2251,7000,81,18,0
23.115147,461,1392,2312,7000,80,19,0
23.135147,461,1387,2272,6898,80,19,0
23.155146,460,1431,2226,6807,82,19,0
23.175146,471,1371,2232,6628,79,19,0
23.195147,463,1386,2242,6749,80,19,0
23.215147,458,1382,2238,6758,80,19,0
23.235146,453,1384,2228,6822,80,19,0
23.255146,460,1419,2288,6914,82,19,0
23.275146,461,1431,2266,6967,81,18,0
23.295147,457,1406,2254,6828,82,19,0
23.315145,462,1394,2318,6826,83,19,0
23.335146,463,1410,2252,6683,83,19,0
23.355146,465,1388,2244,6863,78,18,0
23.375147,459,1388,2248,6856,80,19,0
23.395145,463,1389,2314,6906,81,19,0
23.415146,462,1414,2250,6816,81,19,0
23.435146,457,1370,2237,6894,78,18,0
23.455147,475,1380,2247,6643,79,19,0
23.475145,460,1386,2242,6690,81,19,0
23.495146,473,1390,2235,6614,80,19,0
23.515146,459,1388,2247,6600,83,19,0
23.535147,458,1380,2247,6603,83,19,0
23.555145,453,1350,2231,6616,81,19,0
23.575146,460,1393,2234,7012,77,18,0
